,id,text,sentiment,sentiment_num
0,1641769213462302721,@mirjamlederwerg Ik geloof het wel.,neutral,0.0
1,1641769076153368578,@mirjamlederwerg Die ken ik hier niet.,neutral,0.0
2,1641765800250843136,"@MisterSenseo @MilfHummie Heel stom! Als ik weer cursus heb, ga ik er zeker over beginnen. Dat heb je alvast te weeg gebracht.",positive,0.5
3,1641760234489167873,@merchandise @SaschaJanssen @JaapFriso @MerelMilou @heuswaar @ashatenbroeke @NLRebellion Ik om de bevestiging. Omdat ik meteen beeld had.,neutral,0.0
4,1641756738385854465,"@Pieterjanvl Maar ik was dus Vlaanderen aan het uitlachen, niet hij, de trotse Vlaming met zijn gebrekkig Nederlands maar ik 🙄",neutral,0.0
5,1641738920630140932,@maartjejan Ik heb nu wel zin in een Tjolk. Die met die aap.,neutral,0.0
6,1641724030901207041,@petor76 Goed werk! Gelukkig is er nog vrijheid in de kunst. Ik volg je op deze koude #terugvolgvrijdag,very positive,1.0
7,1641713769037324290,@sanderoord Nog nooit iets van gemerkt! Ik dacht altijd dat je een zwak voor sterke vrouwen had😂😂😂,positive,0.5
8,1641713151023489026,@merchandise @lotjebesijn Ik bel mevrouw Halsema wel even. Als je er een terras aan koppelt moet een vergunning zo gepiept zijn.,neutral,0.0
9,1641713021662756864,@NS_VenS_chris @PBarlingen @dominospizzanl Energiebijdrage..... Ik noem het eerder oplichting.,neutral,0.0
10,1641665089081057282,@batamigo Nu wil ik hem ook 😩,neutral,0.0
11,1641660985898303488,"@DjeeDeeBee Sta nu in de startblokken om te sporten, dikke twijfel echter want om 7.00 is de F1 training in Melbourne, zo gauw ik de deur uit ben is die twijfel wel weg.",neutral,0.0
12,1641660319020744704,"@DjeeDeeBee Bij mij is ook niet veel blijven hangen, sta altijd te kijken als mensen heel gedetailleerd verhalen uit het verleden staan te vertellen, ik kan dan alleen mijn schouders ophalen.",very negative,-1.0
13,1641655909062516736,@Msteffenswater @GBMNieuwVennep @DRNieuwVennep @OVHZ_Hmeer @maatvast @Cpuntmaaktmee @HlmrRaad @haarlemmermeer Ik zag het te laat om jullie vooraf succes te wensen.,negative,-0.5
14,1641608024266788864,"@PanameraPOV Nee, klopt helemaal. Ik heb echt geen oog dichtgedaan",neutral,0.0
15,1641557382252621829,"@margotlantinga Och nee, Margot...wat een tegenvaller!  Lees je updates nu pas en schrik hier wel van. Natuurlijk ben je in goede handen daar, maar het was toch zo de bedoeling dat de operatie verlichting zou brengen...ik duim voor je dat je na deze hobbels echt opknapt 😘🤞🙏",positive,0.5
16,1641554144417726464,@Celinevdc @dbousou Het was dan ook over mijn benen dat ik het had. 🥺,neutral,0.0
17,1641552127683067904,@Celinevdc @dbousou Ik wil hem niet in schaamte brengen. 😅😉,neutral,0.0
18,1641545817193365507,@RaymondTans Ja ik las dat ze dag dat de brief werd verstuurd in Brussel was. Dus het is de uitkomst van overleg met de commissaris. Maar zo’n brief uitlokken in dit politieke klimaat in NL lijkt mij vrij stom.,positive,0.5
19,1641543114794975237,"@vanSonenBreugel @VVD @MinPres @lientje1967 @lientje1967 , gaat het ook niet worden , die raakt straks in de problemen denk ik, nog een hoop om ver na te denken😅",negative,-0.5
20,1641541891131863042,@ramon_tax @__Joepel Ik geloof na uitleg Kees M oprecht in de weg er naar toe,very positive,1.0
21,1641541317581762560,"@ewd Dat bedoel ik, ik ben zelf de haver cappuccino yup.",neutral,0.0
22,1641539716578263041,"@spoorkeerl @martijnaslander Dus de belasting naheffen bij supermarkten wanneer bekend is wat de bruto winst op groente en fruit is?  Als ze het dan willen doorberekenen aan de consument kan dat pas het jaar daarop en mogen zij nog meer belasting afdragen. Mischien zie ik iets over het hoofd, of 't is simpel",positive,0.5
23,1641539686157139968,@PeterterHorst Toen ik het las moest ik wel meteen aan jou drinken ehhh denken. #havermoutmelk,neutral,0.0
24,1641538859220729856,@Heerlijkheyd @KatsmanJan Ik meende 22 gr.\nJa jammer… \nHier is het nog geen Voorjaar… de komende week ook niet!,negative,-0.5
25,1641535667812311053,@MisterSenseo Zeker weten!! Ik wist het namelijk niet. Reanimatie gaat gewoon over kleding. Het aanbrengen van plakkers voor de aed is wel op blote huid.,positive,0.5
26,1641531848386813963,"@ramon_tax @__Joepel Als je elke week op de tribune zit wil het niet zeggen dat je niet kritisch de club mag volgen..en keuzes mag betwisten..en Joep is anders in zijn voorkeur voor eigenaren , en dat mag! Tegengeluid is de voeding voor een betere club! En nee, ik ben het niet met m eens",neutral,0.0
27,1641529969611251720,@Bart_Cologne @YungFierens @bickylover @Pdeburghgraeve Ik heb korting gekregen omdat ik er 2 genomen heb 😂🙈. En ze voelen just gelik zeemvellekes 🥰,neutral,0.0
28,1641529198450728960,@Bart_Cologne @djaycee68 @YungFierens Moet ik da nu inplannen? 🤔,neutral,0.0
29,1641523800826060816,@alexandradarch @VeNeelie @NMBS Er waren mensen over de sporen aan het lopen nabij Hove. Kan de NMBS zelf niet veel aan doen den k ik,neutral,0.0
30,1641510281955139610,@Bart_Cologne @DeGewoneMens @herboschjoris @Bellecoone Ik zal voortaan je ogen zijn 🥰 #MeligeTweet,neutral,0.0
31,1641508204147269639,@CindyAlbers4 En ik die dacht dat de Nederlandse partij BBB stond voor Buik -Borsten-Billen 😳😳🤭,neutral,0.0
32,1641505801314394112,"@Martinus63 @JCrelis @DeMeeuwBV Yep. Op deze lokatie kom ik al een paar weken bijna 2x per dag. Vanmorgen waaide het te hard, en morgen blijkbaar ook, dus de bouw ligt ff stil.",neutral,0.0
33,1641505698646220813,"@NS_VenS_chris Da's juist het mooie hiervan - we leren meer van elkaar en wat iedereen doet. Ik werk in de staf van de crisis- en calamiteitenorganisatie, mooi werk!",positive,0.5
34,1641504554675056643,@JaapJoch Wat doe je eigenlijk normaal op kantoor? Ik ben verder niet heel nieuwsgierig hoor😉😇,neutral,0.0
